Date,A,AAPL,AMZN,TSLA
2019-06-10,70.55000305175781,48.84249877929688,1884.8699951171875,43.38800048828125
2019-06-11,72.5999984741211,49.0,1893.699951171875,44.18000030517578
2019-06-12,70.29000091552734,48.99250030517578,1865.0,44.67599868774414
2019-06-13,70.70999908447266,49.1974983215332,1883.0899658203125,42.97999954223633
2019-06-14,70.44999694824219,48.397499084472656,1876.0,43.33000183105469
2019-06-17,70.5999984741211,48.7400016784668,1895.68994140625,45.400001525878906
2019-06-18,72.22000122070312,50.0724983215332,1921.6700439453125,46.948001861572266
2019-06-19,72.7300033569336,49.970001220703125,1919.5799560546875,45.55400085449219
2019-06-20,73.41999816894531,50.15250015258789,1935.199951171875,45.380001068115234
2019-06-21,73.54000091552734,50.212501525878906,1925.949951171875,44.43600082397461
2019-06-24,73.68000030517578,50.040000915527344,1916.8599853515625,45.172000885009766
2019-06-25,73.62999725341797,49.81499862670898,1916.3900146484373,45.06800079345703
2019-06-26,73.18000030517578,50.247501373291016,1903.800048828125,45.44599914550781
2019-06-27,73.27999877929688,50.39250183105469,1911.239990234375,44.58000183105469
2019-06-28,74.69999694824219,49.875,1912.93994140625,45.03400039672852
2019-07-01,75.88999938964844,51.122501373291016,1929.8199462890625,46.619998931884766
2019-07-02,76.18000030517578,50.782501220703125,1934.7900390625,45.83000183105469
2019-07-03,76.93000030517578,51.11000061035156,1941.5899658203125,48.31399917602539
2019-07-05,76.47000122070312,51.27000045776367,1945.9000244140625,47.09000015258789
2019-07-08,75.98999786376953,50.34999847412109,1956.0,46.45000076293945
2019-07-09,74.08000183105469,50.37749862670898,1990.010009765625,46.20000076293945
2019-07-10,73.94000244140625,50.932498931884766,2024.93994140625,47.78799819946289
2019-07-11,73.77999877929688,51.09749984741211,2035.800048828125,48.29999923706055
2019-07-12,72.2699966430664,51.0,2017.0,49.07600021362305
2019-07-15,71.0199966430664,51.46749877929688,2022.9000244140625,50.88399887084961
2019-07-16,70.36000061035156,51.52750015258789,2026.3199462890625,50.70600128173828
2019-07-17,70.55999755859375,51.272499084472656,2012.0,51.6619987487793
2019-07-18,70.61000061035156,51.470001220703125,1987.5,51.150001525878906
2019-07-19,70.58000183105469,51.625,1996.0,51.992000579833984
2019-07-22,69.47000122070312,51.807498931884766,1989.0,52.43000030517578
2019-07-23,70.16999816894531,52.227500915527344,1997.7900390625,52.09600067138672
2019-07-24,69.58000183105469,52.28749847412109,2001.300048828125,53.2140007019043
2019-07-25,70.01000213623047,52.310001373291016,2001.199951171875,46.900001525878906
2019-07-26,70.19000244140625,52.432498931884766,1950.9000244140625,46.05199813842773
2019-07-29,70.5,52.65999984741211,1932.22998046875,47.1879997253418
2019-07-30,70.18000030517578,52.540000915527344,1909.8900146484373,48.672000885009766
2019-07-31,70.66000366210938,55.34249877929688,1899.550048828125,49.33599853515625
2019-08-01,70.68000030517578,54.50749969482422,1897.9200439453125,48.902000427246094
2019-08-02,69.12999725341797,51.60749816894531,1846.3599853515625,47.25400161743164
2019-08-05,67.16999816894531,49.66249847412109,1788.6700439453125,46.27399826049805
2019-08-06,67.68000030517578,49.51750183105469,1793.77001953125,46.5
2019-08-07,68.2699966430664,49.88999938964844,1798.9300537109375,46.7140007019043
2019-08-08,69.51000213623047,50.88249969482422,1834.260009765625,47.959999084472656
2019-08-09,68.94000244140625,50.68999862670898,1831.0899658203125,47.79199981689453
2019-08-12,68.37999725341797,50.51250076293945,1800.97998046875,47.15399932861328
2019-08-13,68.77999877929688,53.03499984741211,1831.739990234375,47.20000076293945
2019-08-14,67.0199966430664,51.61000061035156,1795.6500244140625,46.29999923706055
2019-08-15,72.6500015258789,51.28499984741211,1788.0,44.3120002746582
2019-08-16,71.18000030517578,51.790000915527344,1802.9100341796875,44.448001861572266
2019-08-19,72.27999877929688,53.182498931884766,1826.0,45.56600189208984
2019-08-20,72.26000213623047,53.337501525878906,1816.8199462890625,45.81800079345703
2019-08-21,72.33000183105469,53.41249847412109,1829.5799560546875,44.64400100708008
2019-08-22,72.7699966430664,53.61000061035156,1829.4100341796875,45.08000183105469
2019-08-23,71.66999816894531,53.01250076293945,1804.9000244140625,44.23400115966797
2019-08-26,70.63999938964844,51.79750061035156,1770.0,43.00400161743164
2019-08-27,70.33000183105469,52.13750076293945,1779.4000244140625,43.7599983215332
2019-08-28,70.26000213623047,51.43000030517578,1767.8599853515625,43.45000076293945
2019-08-29,71.29000091552734,52.33000183105469,1798.550048828125,44.68000030517578
2019-08-30,72.44999694824219,52.61249923706055,1799.739990234375,46.48799896240234
2019-09-03,71.04000091552734,51.744998931884766,1800.800048828125,45.790000915527344
2019-09-04,71.22000122070312,52.369998931884766,1807.6300048828125,45.69200134277344
2019-09-05,73.70999908447266,53.49250030517578,1842.0,45.959999084472656
2019-09-06,74.37000274658203,53.60499954223633,1840.6500244140625,45.928001403808594
2019-09-09,74.58999633789062,54.11000061035156,1850.0,46.75199890136719
2019-09-10,75.02999877929688,54.19499969482422,1825.81005859375,47.108001708984375
2019-09-11,77.01000213623047,55.9275016784668,1833.4200439453125,49.63399887084961
2019-09-12,78.08999633789062,56.60499954223633,1853.6600341796875,50.70000076293945
2019-09-13,78.05000305175781,55.1974983215332,1846.1199951171875,49.68999862670898
2019-09-16,77.43000030517578,55.032501220703125,1825.68994140625,49.48600006103516
2019-09-17,76.97000122070312,55.20500183105469,1823.989990234375,49.119998931884766
2019-09-18,77.56999969482422,55.712501525878906,1822.06005859375,49.63399887084961
2019-09-19,78.1500015258789,55.93999862670898,1832.5699462890625,49.5880012512207
